Area;Car;Science
Алтайский край;22178,90;809643,60
Амурская область;23279,60;352807,70
Архангельская обл...;41694,80;724503,50
Ненецкий авт.округ;9570,30;39897,90
Астраханская область;17032,70;369541,80
Белгородская область;32672,70;891741,40
Брянская область;20104,20;202716,20
Владимирская область;22114,20;2478852,20
Волгоградская обл...;33188,70;2606570,40
Вологодская область;34615,80;286765,40
Воронежская область;49241,20;5286853,30
Нижегородская обл...;83131,20;31361369,80
Ивановская область;12429,00;422973,60
Иркутская область;48415,80;3493852,00
Республика Ингушетия;1233,40;18559,00
Калининградская о...;22995,40;1184834,50
Тверская область;36768,30;2924747,30
Калужская область;29442,30;7300918,70
Центральный федер...;912424,50;288960047,60
Краснодарский край;187188,90;3260341,50
Камчатский край;7293,00;1110551,70
Северо-Западный ф...;424403,20;70737267,00
Кемеровская область;91291,20;771643,40
Приволжский федер...;581119,10;74942408,10
Кировская область;12144,00;849711,00
Уральский федерал...;539391,00;29441790,10
Костромская область;6790,00;56270,90
Сибирский федерал...;423295,40;33869973,20
Дальневосточный ф...;196934,80;9758660,50
Самарская область;78085,50;12517605,80
Южный федеральный...;301041,10;13027273,20
Курганская область;11295,20;213454,00
Северо-Кавказский...;94080,90;2639814,20
Курская область;17824,60;2128867,90
Красноярский край;92431,10;7087895,00
г.Санкт-Петербург;150477,50;59222792,90
Ленинградская обл...;96612,60;4400157,60
Липецкая область;38359,10;66552,30
Магаданская область;9738,00;733152,20
г.Москва;368062,80;194439244,10
Московская область;152510,50;64980596,40
Мурманская область;18437,20;2006612,90
Новгородская область;11614,80;708576,50
Приморский край;39976,60;4100023,20
Новосибирская обл...;60855,60;12270361,40
Омская область;26740,60;2676003,10
Оренбургская область;42827,40;487410,60
Орловская область;8442,90;272456,30
Пензенская область;22419,80;2497262,90
Пермский край;59134,30;7427998,80
Псковская область;7552,40;57148,10
Ростовская область;57581,50;6668404,10
Рязанская область;19604,10;1169641,30
Саратовская область;33522,40;2365275,00
Сахалинская область;21300,10;731489,40
Российская Федерация;3472690,10;523377233,90
Свердловская область;138447,50;12712050,40
Смоленская область;20792,90;787378,40
Тамбовская область;17609,40;805380,50
Томская область;34168,40;5869648,00
Ставропольский край;36326,20;899535,80
Тульская область;28903,50;1565755,50
Тюменская область;312190,00;7609503,70
Ханты-Мансийский ...;153339,30;2289294,80
Ямало-Ненецкий ав...;91098,20;6068,10
Ульяновская область;23032,60;5154056,90
Челябинская область;77458,30;8906782,00
Забайкальский край;16467,90;145305,60
Чукотский авт.округ;3041,20;32081,00
Ярославская область;30752,70;3179101,30
Республика Адыгея;3793,20;59666,90
Хабаровский край;46336,80;1011430,40
Республика Башкор...;58714,60;4083004,00
Республика Бурятия;13759,60;467068,00
Республика Дагестан;24179,90;674448,80
Кабардино-Балкарс...;7108,40;436189,90
Республика Алтай;2070,90;62783,30
Республика Калмыкия;2256,00;62748,50
Республика Карелия;9215,30;568148,90
Республика Коми;31187,40;1577726,70
Республика Марий Эл;6097,10;124850,40
Республика Мордовия;14613,10;520477,10
Республика Северн...;4302,40;231901,90
Карачаево-Черкесс...;2786,40;268469,60
Республика Татарстан;110774,70;6447890,60
Республика Тыва;2692,00;156468,60
Удмуртская Респуб...;21191,70;457664,30
Республика Хакасия;12223,50;59301,20
Чеченская Республика;18144,10;110709,20
Чувашская Республика;15430,70;647830,90
Республика Саха (...;41582,20;1651656,90
Еврейская автоном...;4387,30;35468,00
